,obs,name,jd,mnvel,errvel,sval,cts,tel
42992,,188512,2449969.749023,2.3352882862091064,2.8135383,,70562.0,lick
42993,,188512,2449969.807617,5.711119174957275,2.7505338,,66683.0,lick
42994,,188512,2449985.649414,3.583787202835083,3.1580713,,32466.0,lick
42995,,188512,2449985.671875,-0.11920619010925293,3.021514,,60807.0,lick
42996,,188512,2449985.694336,0.5465699434280396,2.9423048,,55462.0,lick
42997,,188512,2449985.717773,1.9666683673858643,2.8617692,,59208.0,lick
42998,,188512,2450204.001953,-1.8573240041732788,3.909656,,23870.0,lick
42999,,188512,2450298.764648,4.8875346183776855,3.3448021,,47703.0,lick
43000,,188512,2450613.869141,1.4604243040084839,4.005606,,30009.0,lick
43001,,188512,2450614.924805,-6.879332542419434,3.805074,,34469.0,lick
43002,,188512,2450640.889648,-0.8799933195114136,3.984952,,24947.0,lick
43003,,188512,2450645.919922,7.817480087280273,3.2487626,,53045.0,lick
43004,,188512,2450655.842773,1.5460703372955322,3.2098053,,78777.0,lick
43005,,188512,2450681.782227,1.246612310409546,4.4580874,,22270.0,lick
43006,,188512,2450681.787109,1.293650507926941,3.2931335,,58145.0,lick
43007,,188512,2450682.65918,5.118011474609375,3.8306985,,47013.0,lick
43008,,188512,2450682.662109,2.5445749759674072,3.4930975,,47729.0,lick
43009,,188512,2450682.665039,5.890573501586914,3.680512,,49402.0,lick
43010,,188512,2450682.667969,9.656925201416016,3.696419,,50361.0,lick
43011,,188512,2450922.003906,-22.54703712463379,7.610849,,12397.0,lick
43012,,188512,2450922.010742,-14.236221313476562,5.368537,,24849.0,lick
43013,,188512,2450976.967773,-9.280964851379395,12.93548,,4016.0,lick
43014,,188512,2450977.944336,-1.537246823310852,5.0873866,,44480.0,lick
43015,,188512,2451005.879883,2.651573419570923,4.4558754,,62680.0,lick
43016,,188512,2451130.584961,-12.34364128112793,5.808468,,17170.0,lick
43017,,188512,2451130.592773,-3.091115951538086,5.894824,,23175.0,lick
43018,,188512,2451305.958008,0.9037530422210693,4.323737,,64196.0,lick
43019,,188512,2451353.862305,0.008308470249176025,4.6980476,,49917.0,lick
43020,,188512,2451354.862305,-20.256803512573242,4.7262545,,36597.0,lick
43021,,188512,2451372.892578,22.562217712402344,7.6002426,,11647.0,lick
43022,,188512,2451373.844727,2.8988096714019775,4.7125716,,38329.0,lick
43023,,188512,2451375.898438,4.507955551147461,4.512472,,42584.0,lick
43024,,188512,2451376.931641,-4.259955406188965,4.9568443,,38883.0,lick
43025,,188512,2451377.820312,7.631325721740723,4.9950447,,36468.0,lick
43026,,188512,2451377.827148,13.284716606140137,4.8369236,,37558.0,lick
43027,,188512,2451377.988281,0.021583423018455505,6.0271163,,17024.0,lick
43028,,188512,2451378.895508,13.652164459228516,4.347499,,37389.0,lick
43029,,188512,2451378.921875,5.213052749633789,4.4920077,,30976.0,lick
43030,,188512,2451379.854492,11.643465042114258,5.8657846,,30049.0,lick
43031,,188512,2451379.860352,3.134134531021118,5.43503,,36017.0,lick
43032,,188512,2451387.839606,-2.715730667114258,4.888162,,29971.0,lick
43033,,188512,2451389.833984,-2.419489860534668,5.7796955,,26849.0,lick
43034,,188512,2451389.841797,1.1277048587799072,5.639941,,31261.0,lick
43035,,188512,2451391.884766,-2.0111379623413086,5.5225406,,30569.0,lick
43036,,188512,2451391.891602,3.624448537826538,5.4479175,,27631.0,lick
43037,,188512,2451405.751953,-1.7459203004837036,4.54966,,40953.0,lick
43038,,188512,2451407.828125,3.407715320587158,4.711874,,44669.0,lick
43039,,188512,2451409.864258,7.571191310882568,3.9999638,,26883.0,lick
43040,,188512,2451425.796875,13.176958084106445,5.4263334,,32312.0,lick
43041,,188512,2451426.748047,-9.223564147949219,7.616835,,10857.0,lick
43042,,188512,2451427.764648,7.178995132446289,4.523799,,38571.0,lick
43043,,188512,2451428.739258,5.888872146606445,6.058396,,18409.0,lick
43044,,188512,2451429.790039,2.1993935108184814,4.85963,,38423.0,lick
43045,,188512,2451435.737305,1.335486888885498,4.675063,,43088.0,lick
43046,,188512,2451436.71582,-3.187791347503662,5.365916,,31086.0,lick
43047,,188512,2451437.695312,-13.89718246459961,5.0555873,,33973.0,lick
43048,,188512,2451438.72168,-6.369311809539795,5.423712,,27384.0,lick
43049,,188512,2451448.632419,-11.908721923828125,4.9296207,,37626.0,lick
43050,,188512,2451448.637025,-15.2308349609375,6.4997134,,22010.0,lick
43051,,188512,2451448.64206,-9.504806518554688,4.2250195,,76615.0,lick
43052,,188512,2451477.616211,-7.846977233886719,5.655169,,29581.0,lick
43053,,188512,2451478.638672,3.094381809234619,5.523308,,27697.0,lick
43054,,188512,2451480.652344,3.9013969898223877,5.48407,,24419.0,lick
43055,,188512,2451481.635742,7.0360107421875,5.5435696,,18019.0,lick
43056,,188512,2451498.609375,-2.9941563606262207,4.6458936,,45448.0,lick
43057,,188512,2451682.96875,-10.609736442565918,5.9512777,,24995.0,lick
43058,,188512,2451683.992188,-14.530046463012695,5.735736,,27038.0,lick
43059,,188512,2451685.992188,-6.409192085266113,6.235877,,20940.0,lick
43060,,188512,2451706.932617,-3.09382700920105,5.610662,,28311.0,lick
43061,,188512,2451707.914062,-2.652682065963745,6.287467,,22356.0,lick
43062,,188512,2451738.928711,4.246738910675049,5.0759425,,42024.0,lick
43063,,188512,2451741.859375,-8.167096138000488,7.312484,,12339.0,lick
43064,,188512,2451742.806641,0.6881530284881592,4.891084,,37621.0,lick
43065,,188512,2451743.847656,10.497171401977539,4.4774566,,47641.0,lick
43066,,188512,2451744.873047,6.695353031158447,4.388541,,48064.0,lick
43067,,188512,2451745.87793,12.141740798950195,4.5547175,,45668.0,lick
43068,,188512,2451746.836914,6.1769022941589355,4.39126,,41048.0,lick
43069,,188512,2451751.817383,7.999276638031006,4.686558,,85572.0,lick
43070,,188512,2451752.821289,4.555818557739258,6.4399233,,27768.0,lick
43071,,188512,2451778.766602,3.6305649280548096,4.422152,,71362.0,lick
43072,,188512,2451779.802734,6.273597240447998,4.0537806,,74598.0,lick
43073,,188512,2451780.798828,2.9985837936401367,4.120852,,74317.0,lick
43074,,188512,2451781.806641,3.805835723876953,4.0302806,,65334.0,lick
43075,,188512,2451782.805664,2.6430509090423584,4.0542746,,67635.0,lick
43076,,188512,2451783.791016,6.275508880615234,4.053713,,73862.0,lick
43077,,188512,2451807.722656,-3.1740427017211914,4.2285028,,70119.0,lick
43078,,188512,2451811.770508,-5.525519371032715,4.6662703,,49572.0,lick
43079,,188512,2451815.629883,-3.54268217086792,4.91878,,42421.0,lick
43080,,188512,2451823.613281,-5.147395133972168,3.9156375,,64683.0,lick
43081,,188512,2451823.624023,-2.761308193206787,4.187107,,64709.0,lick
43082,,188512,2451842.609375,-6.483151912689209,4.9537916,,36328.0,lick
43083,,188512,2451842.626953,-2.3523688316345215,4.7231684,,35396.0,lick
43084,,188512,2451853.62793,0.05262124538421631,4.591664,,57382.0,lick
43085,,188512,2451854.646484,1.299116611480713,5.0819016,,41273.0,lick
43086,,188512,2451855.633789,1.5470662117004395,4.897655,,38463.0,lick
43087,,188512,2451856.644531,1.5579160451889038,4.8060493,,42706.0,lick
